"","x"
"215","Edifier sound system with aux"
"216","Edifier sound system with Bluetooth and aux"
"217","el\u00e9ctrico oven"
"218","El\u00e9ctrico stainless steel oven"
"219","Electric stove"
"220","Electrico oven"
"221","ELECTRICO stainless steel oven"
"222","electrolux refrigerator"
"223","Elevator"
"224","Elvive"
"225","Equipo Sony para Cd"
"226","Eslabon de lujo gas stove"
"227","Essentials"
"228","Ethernet connection"
"229","EV charger"
"230","Extra pillows and blankets"
"231","Fagor stainless steel oven"
"232","Fire extinguisher"
"233","Fireplace guards"
"234","First aid kit"
"235","Free carport on premises \u2013 1 space"
"236","Free driveway parking on premises \u2013 3 spaces"
"237","Free dryer\u2013In unit"
"238","Free parking garage on premises \u2013 1 space"
"239","Free parking on premises"
"240","Free street parking"
"241","Free washer\u2013In unit"
"242","Freezer"
"243","Full kitchen"
"244","Full size refrigerator with no frost freezer refrigerator"
"245","Funci\u00f3n Horno Grill en Microondas oven"
"246","Gafa refrigerator"
"247","Game console"
"248","Garden or backyard"
"249","Gas stove"
"250","Gym"
"251","Hair dryer"
"252","Hangers"
"253","HDTV"
"254","HDTV with Chromecast"
"255","HDTV with Netflix"
"256","HDTV with premium cable"
"257","HDTV with standard cable"
"258","Heating"
"259","heladera bajomesada refrigerator"
"260","Heladera con freezer Patrick  refrigerator"
"261","High chair"
"262","Hornito electrico oven"
"263","Horno a gas. oven"
"264","horno electrico oven"
"265","Horno Electrico stainless steel oven"
"266","Host greets you"
"267","Hot tub"
"268","Hot water"
"269","Hot water kettle"
"270","Hotelero body soap"
"271","Hotelero conditioner"
"272","Indoor fireplace"
"273","Induction stove"
"274","Iron"
"275","Jab\u00f3n de glicerina natural. body soap"
"276","JBL Bluetooth sound system"
"277","JVC Radio and Aux Stereo Unit sound system with aux"
"278","Keurig coffee machine"
"279","Keypad"
"280","Kitchen"
"281","Kitchenette"
"282","KOHINNOR CON FREEZER (5 CAJONES) refrigerator"
"283","Lake access"
"284","Laundromat nearby"
"285","Lockbox"
"286","Long term stays allowed"
"287","Longvie  stainless steel oven"
"288","LONGVIE gas stove"
"289","longvie oven"
"290","Longvie oven"
"291","longvie stainless steel gas stove"
"292","Luggage dropoff allowed"
"293","Lux body soap"
"294","Made in Argentina conditioner"
"295","Microwave"
"296","Mini fridge"
"297","Minicomponente Samsung sound system"
"298","Natura conditioner"
"299","Natura shampoo"
"300","Nespresso machine"
"301","Nivea body soap"
"302","No espec\u00edfica conditioner"
"303","Noblex sound system with aux"
"304","orbis gas stove"
"305","Orbis gas stove"
"306","orbis oven"
"307","Orbis oven"
"308","Orbital oven"
"309","Outdoor dining area"
"310","Outdoor furniture"
"311","Outdoor shower"
"312","Outlet covers"
"313","Oven"
"314","Pack \u2019n Play/travel crib"
"315","Paid dryer\u2013In building"
"316","Paid parking garage off premises"
"317","Paid parking garage on premises"
"318","Paid parking garage on premises \u2013 $4 per day"
"319","Paid parking garage on premises \u2013 1 space"
"320","Paid parking lot off premises"
"321","Paid parking lot off premises \u2013 $10 per stay"
"322","Paid parking lot on premises"
"323","Paid parking lot on premises \u2013 1 space"
"324","Paid parking lot on premises \u2013 3 spaces"
"325","Paid parking lot on premises \u2013 9 spaces"
"326","Paid parking lot on premises \u2013 ARS600 per stay"
"327","Paid parking off premises"
"328","Paid parking on premises"
"329","Paid street parking off premises"
"330","Paid washer\u2013In building"
"331","Pantene conditioner"
"332","Pantene shampoo"
"333","Patio or balcony"
"334","Patric refrigerator"
"335","Patrick refrigerator"
"336","Patrick. Color plateada refrigerator"
"337","Patrik refrigerator"
"338","Pava el\u00e9ctrica"
"339","Pets allowed"
"340","Philco refrigerator"
"341","Philips refrigerator"
"342","Piano"
"343","plusbelle conditioner"
"344","Pocket wifi"
"345","Pool"
"346","Portable air conditioning"
"347","Portable fans"
"348","Portable heater"
"349","Pour-over coffee"
"350","Private entrance"
"351","Private hot tub"
"352","Radiant heating"
"353","Record player"
"354","Refrigerator"
"355","Rexona body soap"
"356","Rice maker"
"357","Room-darkening shades"
"358","Rotamos el stock de jabones body soap"
"359","Rotamos marcas en stock conditioner"
"360","Safe"
"361","Samsung RB30K3010SS refrigerator"
"362","Samsung refrigerator"
"363","Samsung stainless steel oven"
"364","Sedal conditioner"
"365","Sedal shampoo"
"366","Self check-in"
"367","Shampoo"
"368","Shared garden or backyard"
"369","Shared gym in building"
"370","Shared hot tub"
"371","Shared indoor heated pool"
"372","Shared outdoor lap pool"
"373","Shared outdoor rooftop pool"
"374","Shared sauna"
"375","Shower gel"
"376","Single level home"
"377","Ski-in/Ski-out"
"378","Small fridge refrigerator"
"379","Smart lock"
"380","Smoke alarm"
"381","Smoking allowed"
"382","SONY sound system with aux"
"383","Sound system"
"384","Sound system with aux"
"385","Stainless steel electric stove"
"386","Stainless steel gas stove"
"387","Stainless steel induction stove"
"388","Stainless steel oven"
"389","Stainless steel stove"
"390","Stove"
"391","Suave o similar body soap"
"392","Suitable for events"
"393","T-GO Bluetooth sound system"
"394","Table corner guards"
"395","Toaster"
"396","Trash compactor"
"397","TRESSEMME body soap"
"398","TV"
"399","TV with Chromecast"
"400","TV with Netflix"
"401","TV with premium cable"
"402","TV with standard cable"
"403","Una grande y un peque\u00f1a refrigerator"
"404","Volcan stainless steel gas stove"
"405","Volcan stainless steel oven"
"406","Vondom refrigerator"
"407","Washer"
"408","Washer \u2013\u00a0In building"
"409","Washer \u2013\u00a0In unit"
"410","Waterfront"
"411","Whirlpool refrigerator"
"412","WHIRLPOOL refrigerator"
"413","Whirpool No Frost refrigerator"
"414","whirpool refrigerator"
"415","Whirpool refrigerator"
"416","Wifi"
"417","Wifi \u2013 10 Mbps"
"418","Wifi \u2013 100 Mbps"
"419","Wifi \u2013 144 Mbps"
"420","Wifi \u2013 150 Mbps"
"421","Wifi \u2013 200 Mbps"
"422","Wifi \u2013 300 Mbps"
"423","Wifi \u2013 50 Mbps"
"424","Wifi \u2013 500 Mbps"
"425","Wifi \u2013 75 Mbps"
"426","Window AC unit"
"427","Window guards"
"428","Wine glasses"
"429","wirpool con freezer refrigerator"
"430","Zenith refrigerator"
